Rank,Exercise Name,Level,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,demo,env,sport,Description
14,Lat. Sh. Raise,Beg,All,Shoulders,Low,3,12ea,--,30s,Medial Delt,⭐,None,No Shrugging,Shoulder Width,Variable tension increases difficulty vs DBs.,Watch Video,🎥,all,Shoulder Width
15,Alt. Leg Raises,Beg,All,Quads,Med,3,10ea,--,45s,Lower Ab,⭐⭐,Plank,Flat Low Back,Core Endurance,Challenges core/flexors via resisted lifts.,Watch Video,🎥,all,Core Endurance
16,Alt. Lat. Raise,Beg,All,Shoulders,Low,3,12ea,--,30s,Stability,⭐,None,Stability,Coordination,Alternating sides increases core time under tension.,Watch Video,🎥,all,Coordination
17,Mini Band Lunge,Beg,All,Quads,Med,3,10ea,--,45s,Quad Stability,⭐⭐,Lunge,Balanced Torso,Knee Tracking,Intensifies lunge by adding stabilizer tension.,Watch Video,🎥,all,Knee Tracking
18,Side Hip Abduct,Beg,All,Abductors,Low,3,15ea,--,30s,Hip Strength,⭐,None,Leg Straight,Hip Stability,Isolates outer glute and hip muscles.,Watch Video,🎥,all,Hip Stability
19,Reverse Fly,Beg,All,Shoulders,Low,3,15,--,30s,Post. Delt,⭐,None,Posture,Scap. Retract,Improves posture by strengthening rear delts.,Watch Video,🎥,all,Scap. Retract
20,Toe Touch,Beg,All,Abs,Med,3,20,--,30s,Ab Tone,⭐⭐,Crunch,Reach High,Ab Definition,Increases resistance during resisted crunch.,Watch Video,🎥,all,Ab Definition
21,Leg Raise,Beg,All,Abs,High,3,12,--,60s,Core Strength,⭐⭐⭐,Alt. Leg Raise,No Back Arch,Core Bracing,Intensifies challenge on lower abs/flexors.,Watch Video,🎥,all,Core Bracing
22,Jump Squat,Beg,All,Quads,High,4,8,--,90s,Explosive,⭐⭐⭐,Squat,Soft Landing,Vertical Leap,Combines plyometrics with resistance.,Watch Video,🎥,all,Vertical Leap
23,Lunge Kickback,Beg,All,Quads,Med,3,10ea,--,45s,Post. Chain,⭐⭐,Lunge,Balance,Triple Ext.,Enhances hip extension with a lunge kickback.,Watch Video,🎥,all,Triple Ext.
24,Plank Kickback,Beg,All,Abs,High,3,10ea,--,60s,Core/Glute,⭐⭐⭐,Plank,Level Hips,Anti-Rotation,Challenges core while firing the glute.,Watch Video,🎥,all,Anti-Rotation
25,Mt. Climber,Beg,All,Abs,High,3,20ea,30s Sprint,60s,Metabolic,⭐⭐⭐,Plank,Fast Feet,Engine Build,High-intensity move with resisted knee drive.,Watch Video,🎥,all,Engine Build
26,Scap Retraction,Beg,All,Shoulders,Low,3,15,--,30s,Upper Back,⭐,None,Scap. Move,Shoulder Health,Focuses on shoulder blade movement.,Watch Video,🎥,all,Shoulder Health
27,Around World,Beg,All,Abs,High,3,5ea,--,60s,Elite Stab.,⭐⭐⭐,Plank,Total Control,Shoulder/Core,Complex plank lifting limbs against a tug.,Watch Video,🎥,all,Shoulder/Core
28,Hip Flexor,Beg,All,Quads,Med,3,15ea,--,30s,Stride Power,⭐⭐,None,Drive Knee,Sprint Power,Essential for improving sprint knee drive.,Watch Video,🎥,all,Sprint Power
29,Scissor Kick,Beg,All,Abs,Med,3,--,45s Work,45s,Ab Endurance,⭐⭐,Leg Raise,Speed/Tension,Lower Ab Power,Intensifies flutter kick for activation.,Watch Video,🎥,all,Lower Ab Power
30,Standing Flexion,Beg,All,Quads,Low,3,15ea,--,30s,Hip Mobility,⭐,None,Tall Spine,Balance,Standing isolation for flexors and quads.,Watch Video,🎥,all,Balance
31,Bridge w/ Raise,Inter,All,Glutes,High,3,8ea,--,60s,Unilat. Stab.,⭐⭐⭐,Bridge,Hips High,Core Sync,Addresses strength imbalances between sides.,Watch Video,🎥,all,Core Sync
32,Hydrant Circle,Beg,All,Abductors,Med,3,10ea,--,30s,Hip Range,⭐⭐,Hydrant,Fluid Motion,Joint Health,Enhances mobility via circular motions.,Watch Video,🎥,all,Joint Health
33,Banded Curtsy,Inter,All,Quads,Med,3,12ea,--,45s,Side Glute,⭐⭐,Lunge,Torso Facing,Hip Mobility,Engages hips/glutes more than standard lunge.,Watch Video,🎥,all,Hip Mobility
